school_name,school_about,school_location,state,city,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_points_score, tofel_point,ielts_listening,ielts_speaking,ielts_writting,ielts_reading,new_stream,12th,Diploma,Graduation,Masters,stream_id,other_fees,application_fee,tution_fee_per_semester,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,program_level,other_comment,Foundation Fee,acceptable_band,module,english_language,program_sort_order,Tution_fee_range_per_year,Jan_inake,May_intake,Sep_intake,Feb_Intake,July_intake,November_intake,Status
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Business Analytics (BAP2),"In this Business Analytics program, you will complete a series of data analysis courses that will set you up to become a specialist in managing, interpreting, analyzing, and presenting data to support decision-making processes in all types and sizes of organizations. You�ll gain the skills to help organizations make more informed decisions, predict trends, and better understand the needs of their customers by working independently or with IT teams to mine data from primary and secondary sources, analyze and interpret results, pinpoint and predict trends, provide concise reports, and design, create, and maintain databases.",3 sem,60,6.5,61,84,6,6,6,6,"7,1,2,5",,,"7,1,2,5",,,,95,"15,000",,CAD,28 days,5,,1 Year (3 Sem),3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,1,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Cybersecurity (CSEC),,2 sem,60,6.5,61,84,6,6,6,6,2,,,2,,,,95,"19,500",,CAD,28 days,5,,1 Year,3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,1,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Global Business Management (GBGC),,4 sem,60,6.5,61,84,6,6,6,6,7,,,7,,,,95,"19,500",,CAD,28 days,5,,2 Years,3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Human Resources Management (HMPD),,3 sem,60,6.5,61,84,6,6,6,6,7,,,7,,,,95,"19,500",,CAD,28 days,5,,1 Year (3 Sem),3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,IT Business Analysis (BAGC),,2 sem,60,6.5,61,84,6,6,6,6,"2,7",,,"2,7",,,,95,"19,500",,CAD,28 days,5,,1 Year,3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,International Business Management (IBGC),,2 sem,60,6.5,61,84,6,6,6,6,7,,,7,7,,,95,"19,500",,CAD,28 days,5,,1 Year,3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Mobile Application Development (MAPD),,3 sem,60,6.5,61,84,6,6,6,6,"1,2",,,"1,2",,,,95,"19,500",,CAD,28 days,5,,1 Year (3 Sem),3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Organization Management (MOGC),,2 sem,60,6.5,61,84,6,6,6,6,7,,7,7,7,,,95,"19,500",,CAD,28 days,5,,1 Year,3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Project Management (PMPD),,2 sem,60,6.5,61,84,6,6,6,6,1,,1,1,1,,,95,"19,500",,CAD,28 days,5,,1 Year,3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Open
Cambrian College,"Cambrian College is a college of applied arts and technology in Greater Sudbury, Ontario, Canada. Established in 1967, and funded by the province of Ontario, Cambrian has campuses in Sudbury, Espanola and Little Current.","1400 Barry Downe Rd, Sudbury, ON P3A 3V8, Canada",Ontario,Sudbury,Canada,"1,5","4,800","1,600",yes,yes,yes,yes,yes,yes,1967,Professional Accounting Practice (ACGC),,2 sem,60,6.5,61,84,6,6,6,6,7,,,7,,,,95,"19,500",,CAD,28 days,5,,1 Year,3,IELTS overall 6.5 no less than 6.0. Maximum number of 7 backlogs will be accepted,,6,,,,15000-18000,,May,,,,,Closed
